# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
4

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,RBANNBZVJR,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.135763575749790810e+00, 0.000000000000000000e+00, 5.775478848985786673e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,40,13
# x,y,z,u,w
4.363614621770310009e+00, 0.000000000000000000e+00, 5.775478848985786673e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
4.181846866610844593e+00, 0.000000000000000000e+00, 5.567031359250156353e-01, 1.000000000000000000e+00, 3.277268016080053803e-01
3.956192983531098051e+00, 0.000000000000000000e+00, 5.379409392339515872e-01, 1.000000000000000000e+00, 6.890353749767987868e-01
3.722500842845660962e+00, 0.000000000000000000e+00, 5.251299506886909496e-01, 1.000000000000000000e+00, 1.062495082539003377e+00
3.499046205956402034e+00, 0.000000000000000000e+00, 5.229411403528704261e-01, 1.000000000000000000e+00, 1.419108220573553236e+00
3.301744045894659862e+00, 0.000000000000000000e+00, 5.364748649742925313e-01, 1.000000000000000000e+00, 1.734778715789790260e+00
3.142308021719327105e+00, 0.000000000000000000e+00, 5.678233051853099900e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
3.259503323951173037e+00, 0.000000000000000000e+00, 6.568101167967563825e-01, 1.000000000000000000e+00, 2.265221284210209518e+00
3.461217163908946404e+00, 0.000000000000000000e+00, 6.708213363027859533e-01, 1.000000000000000000e+00, 2.580891779426446764e+00
3.689743315744838270e+00, 0.000000000000000000e+00, 6.609794857281182656e-01, 1.000000000000000000e+00, 2.937504917460996623e+00
3.928261330873988655e+00, 0.000000000000000000e+00, 6.385237415524464000e-01, 1.000000000000000000e+00, 3.310964625023200991e+00
4.158262276548006398e+00, 0.000000000000000000e+00, 6.098249779778490698e-01, 1.000000000000000000e+00, 3.672273198391994509e+00
4.363614621770310009e+00, 0.000000000000000000e+00, 5.775478848985786673e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
